uid,filename
7128_84122_000037_000000,7128_84122_000037_000000.wav
7128_84122_000044_000000,7128_84122_000044_000000.wav
7128_84122_000010_000000,7128_84122_000010_000000.wav
7128_84122_000016_000004,7128_84122_000016_000004.wav
7128_84122_000032_000001,7128_84122_000032_000001.wav
7128_84122_000001_000000,7128_84122_000001_000000.wav
7128_84122_000043_000000,7128_84122_000043_000000.wav
7128_84122_000030_000000,7128_84122_000030_000000.wav
7128_84122_000039_000001,7128_84122_000039_000001.wav
7128_84122_000019_000000,7128_84122_000019_000000.wav
7128_84122_000004_000000,7128_84122_000004_000000.wav
7128_84122_000020_000002,7128_84122_000020_000002.wav
7128_84122_000044_000001,7128_84122_000044_000001.wav
7128_84122_000001_000001,7128_84122_000001_000001.wav
7128_84122_000024_000000,7128_84122_000024_000000.wav
7128_84122_000032_000000,7128_84122_000032_000000.wav
7128_84122_000008_000000,7128_84122_000008_000000.wav
7128_84122_000039_000003,7128_84122_000039_000003.wav
7128_84122_000022_000000,7128_84122_000022_000000.wav
7128_84122_000011_000001,7128_84122_000011_000001.wav
7128_84122_000008_000002,7128_84122_000008_000002.wav
7128_84122_000024_000005,7128_84122_000024_000005.wav
7128_84122_000009_000001,7128_84122_000009_000001.wav
7128_84122_000002_000006,7128_84122_000002_000006.wav
7128_84122_000030_000003,7128_84122_000030_000003.wav
7128_84122_000039_000002,7128_84122_000039_000002.wav
7128_84122_000029_000001,7128_84122_000029_000001.wav
7128_84122_000004_000002,7128_84122_000004_000002.wav
7128_84122_000020_000007,7128_84122_000020_000007.wav
7128_84122_000007_000007,7128_84122_000007_000007.wav
7128_84122_000011_000000,7128_84122_000011_000000.wav
7128_84122_000034_000001,7128_84122_000034_000001.wav
7128_84122_000010_000003,7128_84122_000010_000003.wav
7128_84121_000016_000000,7128_84121_000016_000000.wav
7128_84121_000033_000000,7128_84121_000033_000000.wav
7128_84121_000105_000000,7128_84121_000105_000000.wav
7128_84121_000121_000002,7128_84121_000121_000002.wav
7128_84121_000129_000000,7128_84121_000129_000000.wav
7128_84121_000030_000001,7128_84121_000030_000001.wav
7128_84121_000077_000001,7128_84121_000077_000001.wav
7128_84121_000022_000002,7128_84121_000022_000002.wav
7128_84121_000034_000002,7128_84121_000034_000002.wav
7128_84121_000082_000000,7128_84121_000082_000000.wav
7128_84121_000014_000002,7128_84121_000014_000002.wav
1874_89898_000007_000001,1874_89898_000007_000001.wav
1874_89898_000018_000002,1874_89898_000018_000002.wav
1874_89898_000018_000004,1874_89898_000018_000004.wav
1874_89898_000018_000003,1874_89898_000018_000003.wav
1874_165702_000011_000000,1874_165702_000011_000000.wav
1874_165702_000007_000000,1874_165702_000007_000000.wav
1874_165702_000020_000000,1874_165702_000020_000000.wav
1874_165702_000027_000000,1874_165702_000027_000000.wav
1874_165702_000016_000000,1874_165702_000016_000000.wav
1874_165702_000009_000001,1874_165702_000009_000001.wav
1874_165702_000025_000001,1874_165702_000025_000001.wav
1874_165702_000004_000003,1874_165702_000004_000003.wav
1874_165702_000005_000000,1874_165702_000005_000000.wav
1874_165702_000013_000000,1874_165702_000013_000000.wav
1874_165702_000029_000000,1874_165702_000029_000000.wav
1874_165702_000022_000000,1874_165702_000022_000000.wav
1874_165702_000018_000000,1874_165702_000018_000000.wav
1874_165702_000025_000000,1874_165702_000025_000000.wav
1874_165702_000009_000000,1874_165702_000009_000000.wav
1874_165702_000014_000000,1874_165702_000014_000000.wav
1874_165702_000002_000000,1874_165702_000002_000000.wav
1874_165702_000025_000003,1874_165702_000025_000003.wav
1874_165702_000008_000000,1874_165702_000008_000000.wav
1874_165702_000024_000000,1874_165702_000024_000000.wav
1874_165702_000003_000000,1874_165702_000003_000000.wav
1874_165702_000028_000000,1874_165702_000028_000000.wav
1874_165702_000012_000000,1874_165702_000012_000000.wav
1874_165702_000023_000000,1874_165702_000023_000000.wav
1874_165702_000026_000000,1874_165702_000026_000000.wav
1874_165702_000025_000002,1874_165702_000025_000002.wav
1874_165702_000009_000002,1874_165702_000009_000002.wav
1874_165702_000017_000000,1874_165702_000017_000000.wav
1874_165702_000006_000000,1874_165702_000006_000000.wav
1874_143361_000002_000008,1874_143361_000002_000008.wav
1874_143361_000002_000003,1874_143361_000002_000003.wav
1874_165701_000010_000001,1874_165701_000010_000001.wav
1874_165701_000023_000000,1874_165701_000023_000000.wav
1874_165701_000011_000002,1874_165701_000011_000002.wav
1874_165701_000012_000000,1874_165701_000012_000000.wav
1874_165701_000020_000005,1874_165701_000020_000005.wav
1874_165701_000020_000002,1874_165701_000020_000002.wav
1874_165701_000013_000002,1874_165701_000013_000002.wav
1874_165701_000020_000003,1874_165701_000020_000003.wav
1874_165701_000020_000004,1874_165701_000020_000004.wav
1874_165701_000023_000001,1874_165701_000023_000001.wav
1874_165701_000006_000000,1874_165701_000006_000000.wav
1874_165701_000010_000000,1874_165701_000010_000000.wav
1874_165701_000017_000000,1874_165701_000017_000000.wav
1874_165701_000026_000000,1874_165701_000026_000000.wav
1874_165701_000014_000002,1874_165701_000014_000002.wav
1874_165701_000014_000001,1874_165701_000014_000001.wav
1874_165701_000012_000002,1874_165701_000012_000002.wav
1874_165701_000020_000007,1874_165701_000020_000007.wav
1874_165701_000020_000000,1874_165701_000020_000000.wav
1874_165701_000023_000002,1874_165701_000023_000002.wav
1874_165701_000011_000000,1874_165701_000011_000000.wav
1874_165701_000022_000001,1874_165701_000022_000001.wav
1874_165701_000010_000002,1874_165701_000010_000002.wav
1874_165701_000011_000001,1874_165701_000011_000001.wav
1874_165701_000023_000003,1874_165701_000023_000003.wav
1874_165701_000013_000000,1874_165701_000013_000000.wav
459_127521_000015_000004,459_127521_000015_000004.wav
459_127521_000027_000001,459_127521_000027_000001.wav
459_127521_000016_000001,459_127521_000016_000001.wav
459_127521_000022_000000,459_127521_000022_000000.wav
459_127521_000006_000002,459_127521_000006_000002.wav
459_127521_000013_000000,459_127521_000013_000000.wav
459_127521_000016_000000,459_127521_000016_000000.wav
459_127521_000015_000002,459_127521_000015_000002.wav
459_127521_000013_000001,459_127521_000013_000001.wav
459_127521_000012_000002,459_127521_000012_000002.wav
459_127521_000011_000000,459_127521_000011_000000.wav
459_127521_000017_000000,459_127521_000017_000000.wav
459_127521_000003_000001,459_127521_000003_000001.wav
459_127521_000027_000003,459_127521_000027_000003.wav
459_127521_000011_000002,459_127521_000011_000002.wav
459_127521_000028_000000,459_127521_000028_000000.wav
459_127521_000012_000000,459_127521_000012_000000.wav
459_127521_000003_000000,459_127521_000003_000000.wav
459_127521_000016_000002,459_127521_000016_000002.wav
459_127521_000008_000000,459_127521_000008_000000.wav
459_127521_000024_000000,459_127521_000024_000000.wav
459_127522_000027_000000,459_127522_000027_000000.wav
459_127522_000029_000001,459_127522_000029_000001.wav
459_127522_000013_000001,459_127522_000013_000001.wav
459_127522_000007_000000,459_127522_000007_000000.wav
459_127522_000002_000000,459_127522_000002_000000.wav
459_127522_000004_000003,459_127522_000004_000003.wav
459_127522_000004_000004,459_127522_000004_000004.wav
459_127522_000012_000000,459_127522_000012_000000.wav
459_127522_000008_000000,459_127522_000008_000000.wav
459_127522_000004_000001,459_127522_000004_000001.wav
459_127522_000029_000002,459_127522_000029_000002.wav
459_127522_000010_000000,459_127522_000010_000000.wav
459_127522_000024_000001,459_127522_000024_000001.wav
459_127522_000003_000001,459_127522_000003_000001.wav
459_127522_000026_000000,459_127522_000026_000000.wav
459_123443_000056_000000,459_123443_000056_000000.wav
459_123443_000077_000004,459_123443_000077_000004.wav
459_123443_000053_000001,459_123443_000053_000001.wav
459_123443_000058_000001,459_123443_000058_000001.wav
459_123443_000050_000002,459_123443_000050_000002.wav
459_123443_000058_000000,459_123443_000058_000000.wav
459_123443_000011_000000,459_123443_000011_000000.wav
459_123443_000005_000001,459_123443_000005_000001.wav
459_123443_000076_000001,459_123443_000076_000001.wav
459_123443_000053_000000,459_123443_000053_000000.wav
459_123443_000050_000001,459_123443_000050_000001.wav
459_123443_000052_000000,459_123443_000052_000000.wav
459_123443_000076_000002,459_123443_000076_000002.wav
459_123443_000055_000000,459_123443_000055_000000.wav
459_123443_000057_000001,459_123443_000057_000001.wav
459_123443_000064_000000,459_123443_000064_000000.wav
459_123443_000017_000000,459_123443_000017_000000.wav
459_123443_000077_000000,459_123443_000077_000000.wav
459_123443_000023_000000,459_123443_000023_000000.wav
459_123443_000050_000000,459_123443_000050_000000.wav
459_123443_000070_000000,459_123443_000070_000000.wav
459_123443_000003_000000,459_123443_000003_000000.wav
459_123443_000015_000000,459_123443_000015_000000.wav
459_123443_000055_000001,459_123443_000055_000001.wav
8758_291170_000004_000002,8758_291170_000004_000002.wav
8758_291170_000004_000005,8758_291170_000004_000005.wav
8758_291170_000020_000000,8758_291170_000020_000000.wav
8758_291170_000013_000006,8758_291170_000013_000006.wav
8758_291170_000006_000004,8758_291170_000006_000004.wav
8758_291170_000006_000003,8758_291170_000006_000003.wav
8758_291170_000016_000000,8758_291170_000016_000000.wav
8758_291170_000008_000002,8758_291170_000008_000002.wav
8758_291170_000015_000002,8758_291170_000015_000002.wav
8758_291170_000011_000001,8758_291170_000011_000001.wav
8758_291170_000010_000002,8758_291170_000010_000002.wav
8758_291170_000010_000005,8758_291170_000010_000005.wav
8758_291170_000013_000007,8758_291170_000013_000007.wav
8758_291170_000021_000002,8758_291170_000021_000002.wav
8758_291170_000013_000000,8758_291170_000013_000000.wav
8758_291170_000004_000004,8758_291170_000004_000004.wav
8758_291170_000014_000000,8758_291170_000014_000000.wav
8758_291170_000009_000000,8758_291170_000009_000000.wav
8758_291170_000015_000000,8758_291170_000015_000000.wav
8758_291170_000007_000002,8758_291170_000007_000002.wav
8758_291170_000018_000004,8758_291170_000018_000004.wav
8758_291170_000010_000001,8758_291170_000010_000001.wav
8758_291170_000004_000009,8758_291170_000004_000009.wav
8758_291170_000013_000004,8758_291170_000013_000004.wav
8758_291170_000012_000000,8758_291170_000012_000000.wav
8758_291170_000015_000001,8758_291170_000015_000001.wav
8758_291170_000004_000001,8758_291170_000004_000001.wav
8758_291170_000013_000005,8758_291170_000013_000005.wav
8758_291170_000021_000000,8758_291170_000021_000000.wav
8758_291170_000004_000008,8758_291170_000004_000008.wav
8758_291170_000013_000002,8758_291170_000013_000002.wav
8758_291170_000010_000000,8758_291170_000010_000000.wav
8758_291170_000019_000001,8758_291170_000019_000001.wav
8758_291170_000011_000004,8758_291170_000011_000004.wav
8758_296465_000031_000001,8758_296465_000031_000001.wav
8758_296465_000047_000000,8758_296465_000047_000000.wav
8758_291168_000031_000000,8758_291168_000031_000000.wav
8758_291168_000033_000001,8758_291168_000033_000001.wav
8758_291168_000033_000000,8758_291168_000033_000000.wav
8758_291168_000027_000001,8758_291168_000027_000001.wav
8758_291168_000019_000000,8758_291168_000019_000000.wav
8758_291168_000033_000004,8758_291168_000033_000004.wav
8758_291168_000033_000003,8758_291168_000033_000003.wav
8758_291168_000030_000001,8758_291168_000030_000001.wav
8758_291168_000011_000003,8758_291168_000011_000003.wav
8758_291168_000029_000002,8758_291168_000029_000002.wav
8758_291168_000015_000001,8758_291168_000015_000001.wav
8758_291168_000033_000002,8758_291168_000033_000002.wav
979_128678_000056_000001,979_128678_000056_000001.wav
979_128678_000042_000001,979_128678_000042_000001.wav
979_128669_000016_000001,979_128669_000016_000001.wav
979_128669_000046_000002,979_128669_000046_000002.wav
979_128669_000034_000001,979_128669_000034_000001.wav
979_128669_000056_000001,979_128669_000056_000001.wav
979_128669_000024_000001,979_128669_000024_000001.wav
979_128669_000035_000001,979_128669_000035_000001.wav
979_128669_000026_000001,979_128669_000026_000001.wav
979_128669_000019_000000,979_128669_000019_000000.wav
979_128669_000021_000001,979_128669_000021_000001.wav
979_128670_000040_000001,979_128670_000040_000001.wav
979_128670_000009_000001,979_128670_000009_000001.wav
979_128670_000032_000001,979_128670_000032_000001.wav
979_128670_000039_000001,979_128670_000039_000001.wav
979_128670_000047_000002,979_128670_000047_000002.wav
979_128670_000023_000001,979_128670_000023_000001.wav
979_128670_000026_000001,979_128670_000026_000001.wav
979_128677_000022_000001,979_128677_000022_000001.wav
979_128677_000013_000001,979_128677_000013_000001.wav
979_128677_000003_000001,979_128677_000003_000001.wav
979_128677_000048_000001,979_128677_000048_000001.wav
7832_258250_000017_000022,7832_258250_000017_000022.wav
7832_258250_000012_000000,7832_258250_000012_000000.wav
7832_258250_000000_000002,7832_258250_000000_000002.wav
7832_258250_000015_000019,7832_258250_000015_000019.wav
7832_258250_000015_000008,7832_258250_000015_000008.wav
7832_258250_000013_000010,7832_258250_000013_000010.wav
7832_258250_000016_000000,7832_258250_000016_000000.wav
7832_258250_000017_000014,7832_258250_000017_000014.wav
7832_114468_000019_000001,7832_114468_000019_000001.wav
7832_114468_000063_000000,7832_114468_000063_000000.wav
7832_114468_000005_000002,7832_114468_000005_000002.wav
7832_114468_000004_000001,7832_114468_000004_000001.wav
7832_114468_000043_000000,7832_114468_000043_000000.wav
7832_114468_000014_000005,7832_114468_000014_000005.wav
7832_114468_000048_000000,7832_114468_000048_000000.wav
7832_114468_000004_000000,7832_114468_000004_000000.wav
7832_114468_000044_000001,7832_114468_000044_000001.wav
7832_114468_000046_000000,7832_114468_000046_000000.wav
7832_114468_000023_000000,7832_114468_000023_000000.wav
7832_114468_000050_000000,7832_114468_000050_000000.wav
7832_114468_000048_000001,7832_114468_000048_000001.wav
7832_114468_000033_000003,7832_114468_000033_000003.wav
7832_114468_000001_000001,7832_114468_000001_000001.wav
7832_114468_000057_000000,7832_114468_000057_000000.wav
7832_114468_000041_000000,7832_114468_000041_000000.wav
7832_114468_000055_000001,7832_114468_000055_000001.wav
7832_114468_000001_000002,7832_114468_000001_000002.wav
7832_114468_000056_000000,7832_114468_000056_000000.wav
7832_114468_000048_000002,7832_114468_000048_000002.wav
7832_114468_000049_000001,7832_114468_000049_000001.wav
7832_114468_000042_000001,7832_114468_000042_000001.wav
7832_114468_000003_000003,7832_114468_000003_000003.wav
7832_114468_000038_000000,7832_114468_000038_000000.wav
7832_114468_000055_000002,7832_114468_000055_000002.wav
7832_114468_000002_000000,7832_114468_000002_000000.wav
7832_114468_000045_000001,7832_114468_000045_000001.wav
7832_114468_000012_000003,7832_114468_000012_000003.wav
7832_114468_000037_000002,7832_114468_000037_000002.wav
7832_114468_000044_000002,7832_114468_000044_000002.wav
7832_114468_000007_000001,7832_114468_000007_000001.wav
7832_114468_000040_000001,7832_114468_000040_000001.wav
7832_114468_000001_000004,7832_114468_000001_000004.wav
7832_114468_000001_000003,7832_114468_000001_000003.wav
7832_114468_000005_000001,7832_114468_000005_000001.wav
7832_114468_000036_000000,7832_114468_000036_000000.wav
2045_158081_000118_000001,2045_158081_000118_000001.wav
2045_158081_000011_000000,2045_158081_000011_000000.wav
2045_158081_000102_000001,2045_158081_000102_000001.wav
2045_158081_000049_000000,2045_158081_000049_000000.wav
2045_158081_000011_000001,2045_158081_000011_000001.wav
2045_158081_000017_000002,2045_158081_000017_000002.wav
2045_158081_000017_000001,2045_158081_000017_000001.wav
2045_158081_000021_000006,2045_158081_000021_000006.wav
2045_158081_000084_000002,2045_158081_000084_000002.wav
2045_158081_000102_000002,2045_158081_000102_000002.wav
2045_158081_000124_000001,2045_158081_000124_000001.wav
2045_158081_000121_000000,2045_158081_000121_000000.wav
119_129514_000004_000001,119_129514_000004_000001.wav
119_129514_000020_000003,119_129514_000020_000003.wav
119_129514_000020_000002,119_129514_000020_000002.wav
119_129514_000027_000000,119_129514_000027_000000.wav
3389_13248_000003_000001,3389_13248_000003_000001.wav
3389_13248_000046_000006,3389_13248_000046_000006.wav
3389_13248_000003_000000,3389_13248_000003_000000.wav
3389_13248_000048_000001,3389_13248_000048_000001.wav
3389_13248_000047_000000,3389_13248_000047_000000.wav
3389_13248_000020_000001,3389_13248_000020_000001.wav
3389_13248_000043_000002,3389_13248_000043_000002.wav
3389_13248_000013_000001,3389_13248_000013_000001.wav
3389_13248_000018_000001,3389_13248_000018_000001.wav
3389_13248_000040_000001,3389_13248_000040_000001.wav
3389_13248_000039_000002,3389_13248_000039_000002.wav
8725_294551_000019_000008,8725_294551_000019_000008.wav
8725_294551_000016_000012,8725_294551_000016_000012.wav
8725_294551_000019_000001,8725_294551_000019_000001.wav
8725_294551_000013_000005,8725_294551_000013_000005.wav
8725_294551_000015_000001,8725_294551_000015_000001.wav
8725_294551_000013_000014,8725_294551_000013_000014.wav
8725_294551_000014_000002,8725_294551_000014_000002.wav
8725_294551_000017_000000,8725_294551_000017_000000.wav
8725_294551_000017_000007,8725_294551_000017_000007.wav
8725_294551_000019_000010,8725_294551_000019_000010.wav
8725_294551_000017_000009,8725_294551_000017_000009.wav
8725_294551_000016_000003,8725_294551_000016_000003.wav
8725_294551_000018_000013,8725_294551_000018_000013.wav
8725_294551_000016_000004,8725_294551_000016_000004.wav
8725_294551_000013_000003,8725_294551_000013_000003.wav
8725_294551_000019_000000,8725_294551_000019_000000.wav
8725_294551_000018_000004,8725_294551_000018_000004.wav
8725_294551_000016_000013,8725_294551_000016_000013.wav
8725_294551_000018_000003,8725_294551_000018_000003.wav
8725_294551_000018_000012,8725_294551_000018_000012.wav
8725_294551_000000_000002,8725_294551_000000_000002.wav
8725_294551_000016_000002,8725_294551_000016_000002.wav
8725_294551_000014_000003,8725_294551_000014_000003.wav
8725_294551_000015_000009,8725_294551_000015_000009.wav
8725_294551_000015_000000,8725_294551_000015_000000.wav
8725_294551_000013_000015,8725_294551_000013_000015.wav
8725_294551_000018_000011,8725_294551_000018_000011.wav
8725_294551_000016_000008,8725_294551_000016_000008.wav
8725_294551_000014_000000,8725_294551_000014_000000.wav
8725_294551_000013_000016,8725_294551_000013_000016.wav
8725_294551_000013_000007,8725_294551_000013_000007.wav
8725_294551_000013_000000,8725_294551_000013_000000.wav
8725_294551_000013_000009,8725_294551_000013_000009.wav
8725_294551_000019_000003,8725_294551_000019_000003.wav
8725_294551_000018_000009,8725_294551_000018_000009.wav
8725_294551_000019_000004,8725_294551_000019_000004.wav
8725_294551_000018_000000,8725_294551_000018_000000.wav
8725_294551_000013_000010,8725_294551_000013_000010.wav
8725_294551_000014_000001,8725_294551_000014_000001.wav
8725_294551_000017_000004,8725_294551_000017_000004.wav
8725_294551_000017_000003,8725_294551_000017_000003.wav
8725_294551_000016_000007,8725_294551_000016_000007.wav
8725_294551_000018_000010,8725_294551_000018_000010.wav
8725_294551_000016_000011,8725_294551_000016_000011.wav
8725_294551_000019_000005,8725_294551_000019_000005.wav
8725_294551_000018_000008,8725_294551_000018_000008.wav
8725_294551_000013_000008,8725_294551_000013_000008.wav
8725_294554_000008_000011,8725_294554_000008_000011.wav
8725_294554_000007_000005,8725_294554_000007_000005.wav
8725_294554_000011_000005,8725_294554_000011_000005.wav
8725_294554_000008_000006,8725_294554_000008_000006.wav
8725_294554_000007_000020,8725_294554_000007_000020.wav
8725_294554_000005_000002,8725_294554_000005_000002.wav
8725_294554_000012_000006,8725_294554_000012_000006.wav
8725_294554_000007_000003,8725_294554_000007_000003.wav
8725_294554_000008_000010,8725_294554_000008_000010.wav
8725_294554_000012_000005,8725_294554_000012_000005.wav
8725_294554_000012_000002,8725_294554_000012_000002.wav
8725_294554_000010_000015,8725_294554_000010_000015.wav
8725_294554_000007_000023,8725_294554_000007_000023.wav
8725_294554_000006_000002,8725_294554_000006_000002.wav
8725_294554_000009_000000,8725_294554_000009_000000.wav
1283_136983_000011_000000,1283_136983_000011_000000.wav
1283_136983_000062_000000,1283_136983_000062_000000.wav
1283_136983_000074_000000,1283_136983_000074_000000.wav
1283_136983_000004_000002,1283_136983_000004_000002.wav
1283_136983_000012_000002,1283_136983_000012_000002.wav
1283_136983_000069_000000,1283_136983_000069_000000.wav
1283_136983_000053_000000,1283_136983_000053_000000.wav
1283_136983_000045_000000,1283_136983_000045_000000.wav
1283_136983_000076_000001,1283_136983_000076_000001.wav
1283_136983_000029_000001,1283_136983_000029_000001.wav
1283_136983_000015_000002,1283_136983_000015_000002.wav
1283_136983_000042_000000,1283_136983_000042_000000.wav
1283_136983_000027_000000,1283_136983_000027_000000.wav
1283_136983_000067_000001,1283_136983_000067_000001.wav
1283_136983_000002_000001,1283_136983_000002_000001.wav
1283_136983_000033_000001,1283_136983_000033_000001.wav
1283_136983_000057_000002,1283_136983_000057_000002.wav
1283_136983_000057_000005,1283_136983_000057_000005.wav
1283_136983_000005_000000,1283_136983_000005_000000.wav
1283_136983_000013_000000,1283_136983_000013_000000.wav
1283_136983_000045_000001,1283_136983_000045_000001.wav
1283_136983_000012_000003,1283_136983_000012_000003.wav
1283_136983_000011_000001,1283_136983_000011_000001.wav
1283_136983_000062_000001,1283_136983_000062_000001.wav
1283_136983_000007_000001,1283_136983_000007_000001.wav
