noise_dataset,noise_uid,noise_filename
fsd50k,fsd50k_340299,340299.wav
fsd50k,fsd50k_34854,34854.wav
fsd50k,fsd50k_267937,267937.wav
fsd50k,fsd50k_275640,275640.wav
fsd50k,fsd50k_431478,431478.wav
fsd50k,fsd50k_164309,164309.wav
fsd50k,fsd50k_434344,434344.wav
fsd50k,fsd50k_88590,88590.wav
fsd50k,fsd50k_431535,431535.wav
fsd50k,fsd50k_433861,433861.wav
fsd50k,fsd50k_33246,33246.wav
fsd50k,fsd50k_338700,338700.wav
fsd50k,fsd50k_372313,372313.wav
fsd50k,fsd50k_395042,395042.wav
fsd50k,fsd50k_263871,263871.wav
fsd50k,fsd50k_160709,160709.wav
fsd50k,fsd50k_196703,196703.wav
fsd50k,fsd50k_243610,243610.wav
fsd50k,fsd50k_240691,240691.wav
fsd50k,fsd50k_369934,369934.wav
fsd50k,fsd50k_418494,418494.wav
fsd50k,fsd50k_369054,369054.wav
fsd50k,fsd50k_214516,214516.wav
fsd50k,fsd50k_167531,167531.wav
fsd50k,fsd50k_348871,348871.wav
fsd50k,fsd50k_347900,347900.wav
fsd50k,fsd50k_347686,347686.wav
fsd50k,fsd50k_388391,388391.wav
fma,fma_016771,016771.mp3
fma,fma_038902,038902.mp3
fma,fma_097903,097903.wav
fma,fma_110102,110102.mp3
fma,fma_113450,113450.mp3
fma,fma_126626,126626.mp3
wham_noise_48k,file191_000000000_loc00_day1,file191_000000000_loc00_day1.wav
wham_noise_48k,file194_000000000_loc33_day1,file194_000000000_loc33_day1.wav
wham_noise_48k,file194_010080000_loc33_day1,file194_010080000_loc33_day1.wav
wham_noise_48k,file194_036000000_loc33_day1,file194_036000000_loc33_day1.wav
wham_noise_48k,file196_008640000_loc33_day1,file196_008640000_loc33_day1.wav
wham_noise_48k,file205_046560000_loc32_day1,file205_046560000_loc32_day1.wav
dns5_fullband,-2oMGV4PYaE,-2oMGV4PYaE.wav
dns5_fullband,-4idfEmhn4g,-4idfEmhn4g.wav
dns5_fullband,-GqMXFPA3vI,-GqMXFPA3vI.wav
dns5_fullband,-cKbOLMm0yo,-cKbOLMm0yo.wav
dns5_fullband,-dOsmENqUAA,-dOsmENqUAA.wav
dns5_fullband,-fB-3p69rjs,-fB-3p69rjs.wav
dns5_fullband,-jj-qlswC4Q,-jj-qlswC4Q.wav
dns5_fullband,-n4BEVTbMP8,-n4BEVTbMP8.wav
dns5_fullband,-svYriakPXw,-svYriakPXw.wav
dns5_fullband,0G43_GxPbto,0G43_GxPbto.wav
dns5_fullband,0PgYIkxNg5Q,0PgYIkxNg5Q.wav
dns5_fullband,0T3Fzqa5N_o,0T3Fzqa5N_o.wav
dns5_fullband,0UZNBHkgHSo,0UZNBHkgHSo.wav
dns5_fullband,0_mfoatj92Y,0_mfoatj92Y.wav
