uid,filename
p225_002_mic2,p225_002_mic2.flac
p225_004_mic2,p225_004_mic2.flac
p225_005_mic1,p225_005_mic1.flac
p225_006_mic1,p225_006_mic1.flac
p225_007_mic2,p225_007_mic2.flac
p225_008_mic1,p225_008_mic1.flac
p225_008_mic2,p225_008_mic2.flac
p225_009_mic1,p225_009_mic1.flac
p225_009_mic2,p225_009_mic2.flac
p225_010_mic1,p225_010_mic1.flac
p225_010_mic2,p225_010_mic2.flac
p225_011_mic1,p225_011_mic1.flac
p225_011_mic2,p225_011_mic2.flac
p225_013_mic1,p225_013_mic1.flac
p225_013_mic2,p225_013_mic2.flac
p225_014_mic1,p225_014_mic1.flac
p225_014_mic2,p225_014_mic2.flac
p225_016_mic1,p225_016_mic1.flac
p225_016_mic2,p225_016_mic2.flac
p225_018_mic2,p225_018_mic2.flac
p225_019_mic2,p225_019_mic2.flac
p225_020_mic1,p225_020_mic1.flac
p225_021_mic1,p225_021_mic1.flac
p225_021_mic2,p225_021_mic2.flac
p225_023_mic1,p225_023_mic1.flac
p225_024_mic1,p225_024_mic1.flac
p225_024_mic2,p225_024_mic2.flac
p225_030_mic2,p225_030_mic2.flac
p225_033_mic1,p225_033_mic1.flac
p225_033_mic2,p225_033_mic2.flac
p225_035_mic2,p225_035_mic2.flac
p225_037_mic2,p225_037_mic2.flac
p225_038_mic1,p225_038_mic1.flac
p225_038_mic2,p225_038_mic2.flac
p225_039_mic1,p225_039_mic1.flac
p225_039_mic2,p225_039_mic2.flac
p225_044_mic2,p225_044_mic2.flac
p225_045_mic2,p225_045_mic2.flac
p225_046_mic2,p225_046_mic2.flac
p225_052_mic2,p225_052_mic2.flac
p225_056_mic1,p225_056_mic1.flac
p225_056_mic2,p225_056_mic2.flac
p225_057_mic1,p225_057_mic1.flac
p225_057_mic2,p225_057_mic2.flac
p225_058_mic2,p225_058_mic2.flac
p225_059_mic1,p225_059_mic1.flac
p225_059_mic2,p225_059_mic2.flac
p225_060_mic2,p225_060_mic2.flac
p225_061_mic2,p225_061_mic2.flac
p225_062_mic1,p225_062_mic1.flac
p225_062_mic2,p225_062_mic2.flac
p225_067_mic2,p225_067_mic2.flac
p225_082_mic1,p225_082_mic1.flac
p225_082_mic2,p225_082_mic2.flac
p225_083_mic2,p225_083_mic2.flac
p225_084_mic1,p225_084_mic1.flac
p225_084_mic2,p225_084_mic2.flac
p225_089_mic2,p225_089_mic2.flac
p225_090_mic2,p225_090_mic2.flac
p225_092_mic2,p225_092_mic2.flac
p225_104_mic1,p225_104_mic1.flac
p225_104_mic2,p225_104_mic2.flac
p225_108_mic2,p225_108_mic2.flac
p225_110_mic1,p225_110_mic1.flac
p225_110_mic2,p225_110_mic2.flac
p225_113_mic2,p225_113_mic2.flac
p225_116_mic2,p225_116_mic2.flac
p225_117_mic1,p225_117_mic1.flac
p225_117_mic2,p225_117_mic2.flac
p225_120_mic1,p225_120_mic1.flac
p225_120_mic2,p225_120_mic2.flac
p225_123_mic2,p225_123_mic2.flac
p225_131_mic1,p225_131_mic1.flac
p225_131_mic2,p225_131_mic2.flac
p225_136_mic1,p225_136_mic1.flac
p225_136_mic2,p225_136_mic2.flac
p225_143_mic2,p225_143_mic2.flac
p225_149_mic1,p225_149_mic1.flac
p225_149_mic2,p225_149_mic2.flac
p225_150_mic1,p225_150_mic1.flac
p225_150_mic2,p225_150_mic2.flac
p225_151_mic2,p225_151_mic2.flac
p225_156_mic2,p225_156_mic2.flac
p225_157_mic2,p225_157_mic2.flac
p225_158_mic2,p225_158_mic2.flac
p225_165_mic2,p225_165_mic2.flac
p225_166_mic2,p225_166_mic2.flac
p225_169_mic2,p225_169_mic2.flac
p225_173_mic2,p225_173_mic2.flac
p225_174_mic2,p225_174_mic2.flac
p225_175_mic2,p225_175_mic2.flac
p225_176_mic2,p225_176_mic2.flac
p225_177_mic1,p225_177_mic1.flac
p225_177_mic2,p225_177_mic2.flac
p225_192_mic2,p225_192_mic2.flac
