filename,speaker_id
000008.flac,S_022786
000002.flac,S_001058
000000.flac,S_012725
000002.flac,S_015171
000003.flac,S_015171
000002.flac,S_001093
000001.flac,S_001093
000000.flac,S_018444
000001.flac,S_012725
000000.flac,S_015171
000001.flac,S_001058
000007.flac,S_022786
000003.flac,S_022786
000001.flac,S_001408
000002.flac,S_018444
000007.flac,S_001093
000010.flac,S_001093
000002.flac,S_020394
000002.flac,S_001408
000004.flac,S_001093
000006.flac,S_011625
000006.flac,S_001093
000001.flac,S_011625
000001.flac,S_022786
000000.flac,S_014819
000005.flac,S_022786
000008.flac,S_001093
000003.flac,S_001093
000002.flac,S_011625
000003.flac,S_011625
000000.flac,S_001408
000000.flac,S_011625
000012.flac,S_001093
000000.flac,S_020394
000004.flac,S_022786
000002.flac,S_022786
000024.flac,S_001170
000011.flac,S_021913
000003.flac,S_001170
000001.flac,S_018080
000018.flac,S_021913
000013.flac,S_021913
000022.flac,S_009522
000010.flac,S_018299
000020.flac,S_009522
000012.flac,S_021913
000016.flac,S_001170
000008.flac,S_018299
000000.flac,S_016257
000002.flac,S_001170
000013.flac,S_009522
000001.flac,S_008075
000001.flac,S_008807
000007.flac,S_021913
000002.flac,S_021913
000049.flac,S_001170
000019.flac,S_021913
000000.flac,S_003982
000008.flac,S_021913
000006.flac,S_009522
000009.flac,S_018299
000003.flac,S_011066
000038.flac,S_001170
000005.flac,S_021913
000001.flac,S_018299
000023.flac,S_009522
000004.flac,S_021913
000000.flac,S_008807
000002.flac,S_005972
000013.flac,S_018299
000022.flac,S_001170
000015.flac,S_021913
000001.flac,S_014317
000042.flac,S_001170
000014.flac,S_018299
000007.flac,S_018299
000022.flac,S_021913
000037.flac,S_001170
000008.flac,S_001170
000001.flac,S_003982
000017.flac,S_001170
000005.flac,S_018299
000011.flac,S_018299
000001.flac,S_016257
000000.flac,S_021913
000003.flac,S_005972
000000.flac,S_011066
000001.flac,S_011066
000002.flac,S_008807
000009.flac,S_021913
000000.flac,S_018299
000016.flac,S_021913
000034.flac,S_001170
000041.flac,S_002486
000002.flac,S_016640
000037.flac,S_002486
000043.flac,S_002486
000045.flac,S_002486
000000.flac,S_023118
000001.flac,S_002486
000002.flac,S_002486
000016.flac,S_002486
000003.flac,S_016640
000000.flac,S_002486
000009.flac,S_002486
000039.flac,S_002486
000019.flac,S_002486
000028.flac,S_002486
000000.flac,S_016640
000001.flac,S_005590
000012.flac,S_002486
000001.flac,S_016640
000017.flac,S_002486
000029.flac,S_002486
000000.flac,S_015570
000002.flac,S_020347
000006.flac,S_002486
000026.flac,S_002486
000007.flac,S_013260
000000.flac,S_020347
000006.flac,S_023118
000022.flac,S_002486
000001.flac,S_020347
000011.flac,S_002486
000033.flac,S_002486
000024.flac,S_002486
000001.flac,S_015570
000004.flac,S_002486
000006.flac,S_013260
000002.flac,S_013260
000040.flac,S_002486
000035.flac,S_002486
000032.flac,S_002486
000138.flac,S_014334
000021.flac,S_005503
000035.flac,S_017935
000001.flac,S_007447
000033.flac,S_005503
000075.flac,S_014334
000049.flac,S_005503
000006.flac,S_014633
000007.flac,S_014334
000000.flac,S_014334
000069.flac,S_005503
000127.flac,S_014334
000002.flac,S_010998
000039.flac,S_005503
000071.flac,S_005503
000056.flac,S_005503
000122.flac,S_014334
000044.flac,S_005503
000030.flac,S_014334
000100.flac,S_005503
000065.flac,S_014334
000008.flac,S_014334
000034.flac,S_014334
000062.flac,S_014334
000005.flac,S_006010
000047.flac,S_014334
000059.flac,S_005503
000063.flac,S_005503
000012.flac,S_005503
000005.flac,S_019969
000032.flac,S_017935
000137.flac,S_014334
000117.flac,S_014334
000006.flac,S_005503
000072.flac,S_005503
000010.flac,S_019969
000011.flac,S_007447
000006.flac,S_017935
000013.flac,S_019930
000038.flac,S_014334
000002.flac,S_017935
000036.flac,S_007447
000026.flac,S_007447
000004.flac,S_005503
000009.flac,S_019969
000009.flac,S_007447
000002.flac,S_019541
000031.flac,S_007447
000008.flac,S_007447
000025.flac,S_014334
000002.flac,S_006010
000128.flac,S_014334
000001.flac,S_000810
000038.flac,S_005503
000010.flac,S_019930
000081.flac,S_014334
000000.flac,S_018918
000057.flac,S_005503
000018.flac,S_019930
000098.flac,S_014334
000002.flac,S_007589
000085.flac,S_014334
000037.flac,S_014334
000050.flac,S_005503
000072.flac,S_014334
000116.flac,S_014334
000042.flac,S_014334
000094.flac,S_014334
000091.flac,S_005503
000033.flac,S_017935
000012.flac,S_007447
000131.flac,S_014334
000068.flac,S_014334
000000.flac,S_013731
000075.flac,S_005503
000014.flac,S_017935
000051.flac,S_005503
000083.flac,S_005503
000095.flac,S_005503
000014.flac,S_019969
000060.flac,S_014334
000015.flac,S_014334
000106.flac,S_014334
000000.flac,S_006010
000000.flac,S_015063
000022.flac,S_014334
000017.flac,S_019930
000009.flac,S_005503
000018.flac,S_005503
000045.flac,S_017935
000026.flac,S_014334
000003.flac,S_005503
000003.flac,S_014334
000066.flac,S_005503
000039.flac,S_014334
000083.flac,S_014334
000124.flac,S_014334
000079.flac,S_005503
000094.flac,S_005503
000089.flac,S_014334
000078.flac,S_014334
000000.flac,S_005503
000007.flac,S_014633
000102.flac,S_014334
000009.flac,S_014633
000056.flac,S_014334
000078.flac,S_005503
000034.flac,S_017935
000007.flac,S_007447
000098.flac,S_005503
000041.flac,S_005503
000040.flac,S_005503
000052.flac,S_014334
000065.flac,S_005503
000005.flac,S_007447
000046.flac,S_014334
000000.flac,S_017122
000001.flac,S_013731
000057.flac,S_014334
000118.flac,S_014334
000071.flac,S_014334
000086.flac,S_005503
000051.flac,S_014334
000064.flac,S_014334
000001.flac,S_018918
000006.flac,S_019930
000105.flac,S_014334
000001.flac,S_007589
000033.flac,S_007447
000073.flac,S_014334
000004.flac,S_006010
000023.flac,S_005503
000004.flac,S_019930
000121.flac,S_014334
000001.flac,S_019541
000020.flac,S_017935
000015.flac,S_007447
000010.flac,S_005503
000099.flac,S_014334
000000.flac,S_019541
000096.flac,S_005503
000020.flac,S_014334
000001.flac,S_015063
000022.flac,S_017935
000082.flac,S_005503
000008.flac,S_019969
000003.flac,S_007447
000026.flac,S_005503
000027.flac,S_007447
000027.flac,S_017935
000024.flac,S_005503
000005.flac,S_019930
000001.flac,S_017122
000101.flac,S_014334
000005.flac,S_014633
000012.flac,S_017935
000028.flac,S_005503
000115.flac,S_014334
000020.flac,S_007447
000097.flac,S_014334
000012.flac,S_014334
000145.flac,S_014334
000103.flac,S_014334
000005.flac,S_014334
000073.flac,S_005503
000000.flac,S_019930
000048.flac,S_014334
000050.flac,S_014334
000016.flac,S_019930
000077.flac,S_005503
000081.flac,S_005503
000020.flac,S_005503
000113.flac,S_014334
000136.flac,S_014334
000129.flac,S_014334
000030.flac,S_007447
000011.flac,S_019969
000033.flac,S_014334
000034.flac,S_007447
000016.flac,S_017935
000001.flac,S_010998
000025.flac,S_007447
000013.flac,S_019969
000068.flac,S_005503
000134.flac,S_014334
000000.flac,S_019969
000085.flac,S_005503
000003.flac,S_017935
000016.flac,S_019969
000001.flac,S_015883
000019.flac,S_005503
000132.flac,S_014334
000007.flac,S_019969
000042.flac,S_005503
000041.flac,S_014334
000011.flac,S_014334
000102.flac,S_005503
000017.flac,S_017935
000126.flac,S_014334
000074.flac,S_005503
000140.flac,S_014334
000013.flac,S_005503
000123.flac,S_014334
000076.flac,S_014334
000044.flac,S_014334
000032.flac,S_007447
000043.flac,S_014334
000008.flac,S_014633
000003.flac,S_000116
000023.flac,S_007447
000093.flac,S_005503
000059.flac,S_014334
000036.flac,S_005503
000003.flac,S_010998
000035.flac,S_007447
000006.flac,S_019969
000024.flac,S_007447
000053.flac,S_005503
000077.flac,S_014334
000023.flac,S_014334
000021.flac,S_007447
000037.flac,S_007447
000060.flac,S_005503
000031.flac,S_014334
000099.flac,S_005503
000000.flac,S_007589
000144.flac,S_014334
000024.flac,S_014334
000058.flac,S_014334
000002.flac,S_019930
000110.flac,S_014334
000067.flac,S_014334
000000.flac,S_012329
000114.flac,S_014334
000139.flac,S_014334
000069.flac,S_014334
000036.flac,S_014334
000120.flac,S_014334
000000.flac,S_014633
000039.flac,S_017935
000010.flac,S_007447
000015.flac,S_005503
000000.flac,S_007447
000048.flac,S_005503
000108.flac,S_014334
000030.flac,S_017935
000076.flac,S_005503
000142.flac,S_014334
000002.flac,S_014633
000054.flac,S_014334
000011.flac,S_014633
000001.flac,S_000116
000041.flac,S_017935
000031.flac,S_005503
000018.flac,S_014334
000000.flac,S_000116
000032.flac,S_005503
000066.flac,S_014334
000013.flac,S_007447
000097.flac,S_005503
000055.flac,S_005503
000035.flac,S_014334
000019.flac,S_014334
000028.flac,S_017935
000007.flac,S_005503
000008.flac,S_017935
000000.flac,S_015883
000062.flac,S_005503
000090.flac,S_014334
000001.flac,S_019969
000046.flac,S_005503
000010.flac,S_014334
000111.flac,S_014334
000002.flac,S_019969
000100.flac,S_014334
000012.flac,S_019969
000089.flac,S_005503
000001.flac,S_006220
000036.flac,S_017935
000082.flac,S_014334
000050.flac,S_010028
000000.flac,S_003061
000039.flac,S_004100
000024.flac,S_004100
000000.flac,S_020152
000004.flac,S_010028
000027.flac,S_004100
000045.flac,S_004100
000041.flac,S_004100
000013.flac,S_004100
000046.flac,S_010028
000043.flac,S_022493
000004.flac,S_004100
000084.flac,S_010028
000032.flac,S_010028
000074.flac,S_010028
000022.flac,S_016597
000000.flac,S_004718
000019.flac,S_010028
000066.flac,S_010028
000000.flac,S_007887
000013.flac,S_016597
000015.flac,S_010028
000001.flac,S_010028
000021.flac,S_016597
000016.flac,S_004100
000047.flac,S_022493
000029.flac,S_004100
000022.flac,S_022493
000043.flac,S_010028
000005.flac,S_022493
000017.flac,S_004100
000019.flac,S_022493
000038.flac,S_010028
000023.flac,S_010028
000031.flac,S_022493
000040.flac,S_004100
000089.flac,S_010028
000044.flac,S_004100
000035.flac,S_015923
000091.flac,S_010028
000020.flac,S_016597
000037.flac,S_010028
000002.flac,S_004718
000030.flac,S_010028
000010.flac,S_016597
000010.flac,S_001460
000026.flac,S_015923
000044.flac,S_010028
000042.flac,S_004100
000018.flac,S_022493
000046.flac,S_004100
000035.flac,S_004100
000068.flac,S_010028
000031.flac,S_004100
000025.flac,S_004100
000098.flac,S_010028
000004.flac,S_003061
000000.flac,S_004100
000000.flac,S_021054
000015.flac,S_022493
000033.flac,S_010028
000011.flac,S_022493
000037.flac,S_015923
000077.flac,S_010028
000030.flac,S_004100
000014.flac,S_022493
000008.flac,S_004100
000020.flac,S_010028
000001.flac,S_004100
000002.flac,S_022493
000026.flac,S_010028
000023.flac,S_004100
000020.flac,S_022493
000008.flac,S_003391
000002.flac,S_007887
000006.flac,S_015923
000003.flac,S_016597
000034.flac,S_010028
000011.flac,S_010028
000009.flac,S_016597
000021.flac,S_010028
000029.flac,S_010028
000039.flac,S_010028
000019.flac,S_004100
000039.flac,S_022493
000017.flac,S_022493
000047.flac,S_010028
000013.flac,S_015923
000025.flac,S_022493
000038.flac,S_022493
000007.flac,S_004100
000010.flac,S_022493
000001.flac,S_008326
000095.flac,S_010028
000018.flac,S_004100
000016.flac,S_022493
000069.flac,S_010028
000047.flac,S_004100
000048.flac,S_010028
000001.flac,S_022493
000002.flac,S_004100
000000.flac,S_016677
000094.flac,S_010028
000042.flac,S_015923
000082.flac,S_010028
000033.flac,S_004100
000037.flac,S_004100
000030.flac,S_022493
000034.flac,S_004100
000036.flac,S_004100
000093.flac,S_010028
000002.flac,S_003061
000060.flac,S_010028
000006.flac,S_016597
000041.flac,S_010028
000072.flac,S_010028
000019.flac,S_014015
000001.flac,S_007887
000006.flac,S_004100
000008.flac,S_016597
000043.flac,S_004100
000004.flac,S_022493
000002.flac,S_008326
000011.flac,S_016597
000015.flac,S_016597
000000.flac,S_008326
000007.flac,S_003391
000040.flac,S_015923
000027.flac,S_022493
000011.flac,S_004100
000012.flac,S_022493
000009.flac,S_022493
000022.flac,S_010028
000005.flac,S_010028
000057.flac,S_010028
000058.flac,S_010028
000001.flac,S_020152
000003.flac,S_004100
000021.flac,S_022493
000076.flac,S_010028
000042.flac,S_010028
000001.flac,S_004718
000019.flac,S_015923
000028.flac,S_004100
000044.flac,S_022493
000056.flac,S_010028
000000.flac,S_001460
000013.flac,S_022493
000005.flac,S_004100
000007.flac,S_022493
000010.flac,S_004100
000001.flac,S_016677
000073.flac,S_010028
000051.flac,S_010028
000016.flac,S_016597
000036.flac,S_022493
000052.flac,S_010028
000009.flac,S_008122
000002.flac,S_007350
000017.flac,S_015092
000008.flac,S_008122
000007.flac,S_015092
000026.flac,S_015092
000015.flac,S_015092
000010.flac,S_015092
000021.flac,S_015092
000017.flac,S_008122
000000.flac,S_007350
000025.flac,S_015092
000001.flac,S_007350
000009.flac,S_015092
000003.flac,S_008122
000022.flac,S_015092
000002.flac,S_015092
000015.flac,S_008122
000030.flac,S_015092
000028.flac,S_015092
000001.flac,S_008122
000004.flac,S_015092
000012.flac,S_008122
000001.flac,S_013033
000000.flac,S_013033
000007.flac,S_008122
000006.flac,S_008122
000013.flac,S_015092
000003.flac,S_007350
000005.flac,S_001300
000001.flac,S_012690
000023.flac,S_002283
000044.flac,S_021204
000000.flac,S_017963
000033.flac,S_021204
000081.flac,S_021204
