rir_dataset,rir_uid,rir_filename
Motus,0204_1,0204_1_raw_rirs.wav
Motus,0633_1,0633_1_raw_rirs.wav
Motus,0576_1,0576_1_raw_rirs.wav
Motus,0280_1,0280_1_raw_rirs.wav
Motus,0205_1,0205_1_raw_rirs.wav
Motus,0311_1,0311_1_raw_rirs.wav
Motus,0176_1,0176_1_raw_rirs.wav
Motus,0625_1,0625_1_raw_rirs.wav
Motus,0530_1,0530_1_raw_rirs.wav
Motus,0447_1,0447_1_raw_rirs.wav
Motus,0637_1,0637_1_raw_rirs.wav
Motus,0547_1,0547_1_raw_rirs.wav
Motus,0527_1,0527_1_raw_rirs.wav
Motus,0319_1,0319_1_raw_rirs.wav
Motus,0574_1,0574_1_raw_rirs.wav
Motus,0690_1,0690_1_raw_rirs.wav
Motus,0245_1,0245_1_raw_rirs.wav
Motus,0228_1,0228_1_raw_rirs.wav
Motus,0538_1,0538_1_raw_rirs.wav
Motus,0155_2,0155_2_raw_rirs.wav
Motus,0589_3,0589_3_raw_rirs.wav
Motus,0311_3,0311_3_raw_rirs.wav
Motus,0319_3,0319_3_raw_rirs.wav
Motus,0383_3,0383_3_raw_rirs.wav
Motus,0601_3,0601_3_raw_rirs.wav
Motus,0693_3,0693_3_raw_rirs.wav
Motus,0680_3,0680_3_raw_rirs.wav
Motus,0640_3,0640_3_raw_rirs.wav
Motus,0695_3,0695_3_raw_rirs.wav
Motus,0167_3,0167_3_raw_rirs.wav
Motus,0542_1,0542_1_raw_rirs.wav
Motus,0582_1,0582_1_raw_rirs.wav
Motus,0565_1,0565_1_raw_rirs.wav
Motus,0259_1,0259_1_raw_rirs.wav
Motus,0006_1,0006_1_raw_rirs.wav
Motus,0202_1,0202_1_raw_rirs.wav
Motus,0707_1,0707_1_raw_rirs.wav
Motus,0624_1,0624_1_raw_rirs.wav
Motus,0367_1,0367_1_raw_rirs.wav
Motus,0423_1,0423_1_raw_rirs.wav
Motus,0030_1,0030_1_raw_rirs.wav
Motus,0201_1,0201_1_raw_rirs.wav
Motus,0605_1,0605_1_raw_rirs.wav
Motus,0296_1,0296_1_raw_rirs.wav
Motus,0357_1,0357_1_raw_rirs.wav
Motus,0463_1,0463_1_raw_rirs.wav
Motus,0541_1,0541_1_raw_rirs.wav
Motus,0293_1,0293_1_raw_rirs.wav
Motus,0241_2,0241_2_raw_rirs.wav
Motus,0199_2,0199_2_raw_rirs.wav
Motus,0632_3,0632_3_raw_rirs.wav
Motus,0284_3,0284_3_raw_rirs.wav
Motus,0644_3,0644_3_raw_rirs.wav
Motus,0396_3,0396_3_raw_rirs.wav
Motus,0538_3,0538_3_raw_rirs.wav
Motus,0355_3,0355_3_raw_rirs.wav
Motus,0380_3,0380_3_raw_rirs.wav
Motus,0233_3,0233_3_raw_rirs.wav
Motus,0526_3,0526_3_raw_rirs.wav
Motus,0032_3,0032_3_raw_rirs.wav
Motus,0042_3,0042_3_raw_rirs.wav
Motus,0595_3,0595_3_raw_rirs.wav
Motus,0378_3,0378_3_raw_rirs.wav
Motus,0424_3,0424_3_raw_rirs.wav
Motus,0269_3,0269_3_raw_rirs.wav
Motus,0254_1,0254_1_raw_rirs.wav
Motus,0310_1,0310_1_raw_rirs.wav
Motus,0307_1,0307_1_raw_rirs.wav
Motus,0695_1,0695_1_raw_rirs.wav
Motus,0668_1,0668_1_raw_rirs.wav
Motus,0682_1,0682_1_raw_rirs.wav
Motus,0264_1,0264_1_raw_rirs.wav
Motus,0425_1,0425_1_raw_rirs.wav
Motus,0680_1,0680_1_raw_rirs.wav
Motus,0546_1,0546_1_raw_rirs.wav
Motus,0406_1,0406_1_raw_rirs.wav
Motus,0321_1,0321_1_raw_rirs.wav
Motus,0683_1,0683_1_raw_rirs.wav
Motus,0398_1,0398_1_raw_rirs.wav
Motus,0618_1,0618_1_raw_rirs.wav
Motus,0634_1,0634_1_raw_rirs.wav
Motus,0167_1,0167_1_raw_rirs.wav
Motus,0603_1,0603_1_raw_rirs.wav
Motus,0420_1,0420_1_raw_rirs.wav
Motus,0451_1,0451_1_raw_rirs.wav
Motus,0449_1,0449_1_raw_rirs.wav
Motus,0361_1,0361_1_raw_rirs.wav
Motus,0371_1,0371_1_raw_rirs.wav
Motus,0444_1,0444_1_raw_rirs.wav
Motus,0263_1,0263_1_raw_rirs.wav
Motus,0698_1,0698_1_raw_rirs.wav
Motus,0631_1,0631_1_raw_rirs.wav
Motus,0536_1,0536_1_raw_rirs.wav
Motus,0671_1,0671_1_raw_rirs.wav
Motus,0584_1,0584_1_raw_rirs.wav
Motus,0431_1,0431_1_raw_rirs.wav
Motus,0607_1,0607_1_raw_rirs.wav
Motus,0354_1,0354_1_raw_rirs.wav
Motus,0592_1,0592_1_raw_rirs.wav
Motus,0442_1,0442_1_raw_rirs.wav
Motus,0685_1,0685_1_raw_rirs.wav
Motus,0411_1,0411_1_raw_rirs.wav
Motus,0635_1,0635_1_raw_rirs.wav
Motus,0198_1,0198_1_raw_rirs.wav
Motus,0258_1,0258_1_raw_rirs.wav
Motus,0427_1,0427_1_raw_rirs.wav
Motus,0587_1,0587_1_raw_rirs.wav
Motus,0317_1,0317_1_raw_rirs.wav
Motus,0448_1,0448_1_raw_rirs.wav
Motus,0643_1,0643_1_raw_rirs.wav
Motus,0531_1,0531_1_raw_rirs.wav
Motus,0067_1,0067_1_raw_rirs.wav
Motus,0494_1,0494_1_raw_rirs.wav
Motus,0503_1,0503_1_raw_rirs.wav
Motus,0143_1,0143_1_raw_rirs.wav
Motus,0567_1,0567_1_raw_rirs.wav
Motus,0120_1,0120_1_raw_rirs.wav
Motus,0192_1,0192_1_raw_rirs.wav
Motus,0679_1,0679_1_raw_rirs.wav
Motus,0486_1,0486_1_raw_rirs.wav
Motus,0014_1,0014_1_raw_rirs.wav
Motus,0086_1,0086_1_raw_rirs.wav
Motus,0021_2,0021_2_raw_rirs.wav
Motus,0226_2,0226_2_raw_rirs.wav
Motus,0103_2,0103_2_raw_rirs.wav
Motus,0112_2,0112_2_raw_rirs.wav
Motus,0190_2,0190_2_raw_rirs.wav
Motus,0165_3,0165_3_raw_rirs.wav
Motus,0509_3,0509_3_raw_rirs.wav
Motus,0157_3,0157_3_raw_rirs.wav
Motus,0096_3,0096_3_raw_rirs.wav
Motus,0521_3,0521_3_raw_rirs.wav
Motus,0489_3,0489_3_raw_rirs.wav
Motus,0221_3,0221_3_raw_rirs.wav
Motus,0495_3,0495_3_raw_rirs.wav
Motus,0216_3,0216_3_raw_rirs.wav
Motus,0020_3,0020_3_raw_rirs.wav
Motus,0671_3,0671_3_raw_rirs.wav
Motus,0482_3,0482_3_raw_rirs.wav
Motus,0200_3,0200_3_raw_rirs.wav
Motus,0484_3,0484_3_raw_rirs.wav
Motus,0558_3,0558_3_raw_rirs.wav
Motus,0100_3,0100_3_raw_rirs.wav
Motus,0523_1,0523_1_raw_rirs.wav
Motus,0212_1,0212_1_raw_rirs.wav
Motus,0133_1,0133_1_raw_rirs.wav
Motus,0091_1,0091_1_raw_rirs.wav
Motus,0047_1,0047_1_raw_rirs.wav
Motus,0147_1,0147_1_raw_rirs.wav
Motus,0052_1,0052_1_raw_rirs.wav
Motus,0512_1,0512_1_raw_rirs.wav
Motus,0597_1,0597_1_raw_rirs.wav
Motus,0034_1,0034_1_raw_rirs.wav
Motus,0572_1,0572_1_raw_rirs.wav
Motus,0220_2,0220_2_raw_rirs.wav
Motus,0521_2,0521_2_raw_rirs.wav
Motus,0222_2,0222_2_raw_rirs.wav
Motus,0489_2,0489_2_raw_rirs.wav
Motus,0225_2,0225_2_raw_rirs.wav
Motus,0023_2,0023_2_raw_rirs.wav
Motus,0239_2,0239_2_raw_rirs.wav
Motus,0594_3,0594_3_raw_rirs.wav
Motus,0613_3,0613_3_raw_rirs.wav
Motus,0515_3,0515_3_raw_rirs.wav
Motus,0436_3,0436_3_raw_rirs.wav
Motus,0192_3,0192_3_raw_rirs.wav
Motus,0078_3,0078_3_raw_rirs.wav
Motus,0036_3,0036_3_raw_rirs.wav
Motus,0137_3,0137_3_raw_rirs.wav
Motus,0235_3,0235_3_raw_rirs.wav
Motus,0551_3,0551_3_raw_rirs.wav
Motus,0470_3,0470_3_raw_rirs.wav
Motus,0021_3,0021_3_raw_rirs.wav
Motus,0010_3,0010_3_raw_rirs.wav
Motus,0559_3,0559_3_raw_rirs.wav
Motus,0518_3,0518_3_raw_rirs.wav
Motus,0533_1,0533_1_raw_rirs.wav
Motus,0136_1,0136_1_raw_rirs.wav
Motus,0191_1,0191_1_raw_rirs.wav
Motus,0501_1,0501_1_raw_rirs.wav
Motus,0123_1,0123_1_raw_rirs.wav
Motus,0140_1,0140_1_raw_rirs.wav
Motus,0059_1,0059_1_raw_rirs.wav
Motus,0510_1,0510_1_raw_rirs.wav
Motus,0043_1,0043_1_raw_rirs.wav
Motus,0042_1,0042_1_raw_rirs.wav
Motus,0098_1,0098_1_raw_rirs.wav
Motus,0180_1,0180_1_raw_rirs.wav
Motus,0071_1,0071_1_raw_rirs.wav
Motus,0225_1,0225_1_raw_rirs.wav
Motus,0053_1,0053_1_raw_rirs.wav
Motus,0119_1,0119_1_raw_rirs.wav
Motus,0054_1,0054_1_raw_rirs.wav
Motus,0479_1,0479_1_raw_rirs.wav
Motus,0068_1,0068_1_raw_rirs.wav
Motus,0235_1,0235_1_raw_rirs.wav
Motus,0165_1,0165_1_raw_rirs.wav
Motus,0041_1,0041_1_raw_rirs.wav
Motus,0077_1,0077_1_raw_rirs.wav
Motus,0009_1,0009_1_raw_rirs.wav
