noise_dataset,noise_uid,noise_filename
fsd50k,fsd50k_135703,135703.wav
fsd50k,fsd50k_138468,138468.wav
fsd50k,fsd50k_62942,62942.wav
fsd50k,fsd50k_145209,145209.wav
fsd50k,fsd50k_92019,92019.wav
fsd50k,fsd50k_276938,276938.wav
fsd50k,fsd50k_77405,77405.wav
fsd50k,fsd50k_140222,140222.wav
fsd50k,fsd50k_382005,382005.wav
fsd50k,fsd50k_198776,198776.wav
fsd50k,fsd50k_278159,278159.wav
fsd50k,fsd50k_392153,392153.wav
fsd50k,fsd50k_75825,75825.wav
fsd50k,fsd50k_264332,264332.wav
fsd50k,fsd50k_368805,368805.wav
fsd50k,fsd50k_232510,232510.wav
fsd50k,fsd50k_187973,187973.wav
fsd50k,fsd50k_187975,187975.wav
fsd50k,fsd50k_140058,140058.wav
fsd50k,fsd50k_333910,333910.wav
fsd50k,fsd50k_12642,12642.wav
fsd50k,fsd50k_152606,152606.wav
fsd50k,fsd50k_222749,222749.wav
fsd50k,fsd50k_344712,344712.wav
fsd50k,fsd50k_393790,393790.wav
fsd50k,fsd50k_136544,136544.wav
fsd50k,fsd50k_366112,366112.wav
fsd50k,fsd50k_252015,252015.wav
fsd50k,fsd50k_353532,353532.wav
fsd50k,fsd50k_185170,185170.wav
fsd50k,fsd50k_94824,94824.wav
fsd50k,fsd50k_160877,160877.wav
fsd50k,fsd50k_345847,345847.wav
fsd50k,fsd50k_200200,200200.wav
fsd50k,fsd50k_429509,429509.wav
fsd50k,fsd50k_344645,344645.wav
fsd50k,fsd50k_254834,254834.wav
fsd50k,fsd50k_361580,361580.wav
fsd50k,fsd50k_406796,406796.wav
fsd50k,fsd50k_2432,2432.wav
fsd50k,fsd50k_260947,260947.wav
fsd50k,fsd50k_58867,58867.wav
fsd50k,fsd50k_100772,100772.wav
fsd50k,fsd50k_214897,214897.wav
fsd50k,fsd50k_263037,263037.wav
fsd50k,fsd50k_98494,98494.wav
fsd50k,fsd50k_432568,432568.wav
fsd50k,fsd50k_75072,75072.wav
fsd50k,fsd50k_319326,319326.wav
fsd50k,fsd50k_75829,75829.wav
fsd50k,fsd50k_251007,251007.wav
fsd50k,fsd50k_162438,162438.wav
fsd50k,fsd50k_41746,41746.wav
fsd50k,fsd50k_115738,115738.wav
fsd50k,fsd50k_50758,50758.wav
fsd50k,fsd50k_154795,154795.wav
fsd50k,fsd50k_144126,144126.wav
fsd50k,fsd50k_393323,393323.wav
fsd50k,fsd50k_383157,383157.wav
fsd50k,fsd50k_347686,347686.wav
fsd50k,fsd50k_268966,268966.wav
fsd50k,fsd50k_116346,116346.wav
fsd50k,fsd50k_71927,71927.wav
fsd50k,fsd50k_235472,235472.wav
fsd50k,fsd50k_378295,378295.wav
fsd50k,fsd50k_79064,79064.wav
fsd50k,fsd50k_118049,118049.wav
fsd50k,fsd50k_58415,58415.wav
fma,fma_004738,004738.mp3
fma,fma_015773,015773.mp3
fma,fma_027155,027155.mp3
fma,fma_029042,029042.mp3
fma,fma_034529,034529.mp3
fma,fma_038543,038543.wav
fma,fma_045126,045126.wav
fma,fma_046537,046537.wav
fma,fma_069946,069946.wav
fma,fma_076080,076080.mp3
fma,fma_099655,099655.mp3
fma,fma_100522,100522.mp3
fma,fma_109047,109047.mp3
fma,fma_109923,109923.mp3
fma,fma_117967,117967.mp3
fma,fma_123500,123500.mp3
fma,fma_126622,126622.mp3
fma,fma_129622,129622.wav
fma,fma_130702,130702.mp3
fma,fma_130935,130935.mp3
