speech_dataset,speech_uid,speech_filename
libritts,6829_68771_000039_000000,6829_68771_000039_000000.wav
dns5,book_00082_chp_0011_reader_01593_70_seg_1_seg1(2),book_00082_chp_0011_reader_01593_70_seg_1_seg1(2).wav
globe,S_012116_000008,000008.flac
dns5,book_00082_chp_0011_reader_01593_18_seg_2_seg2(2),book_00082_chp_0011_reader_01593_18_seg_2_seg2(2).wav
vctk,s5_352_mic2,s5_352_mic2.flac
globe,S_012907_000000,000000.flac
dns5,book_00162_chp_0028_reader_08756_0_seg_1_seg1(2),book_00162_chp_0028_reader_08756_0_seg_1_seg1(2).wav
dns5,book_00028_chp_0031_reader_05303_71_seg_1_seg1,book_00028_chp_0031_reader_05303_71_seg_1_seg1.wav
libritts,6829_68771_000011_000001,6829_68771_000011_000001.wav
globe,S_005792_000003,000003.flac
dns5,book_00082_chp_0011_reader_01593_34_seg_2_seg1,book_00082_chp_0011_reader_01593_34_seg_2_seg1.wav
globe,S_001930_000006,000006.flac
dns5,book_00255_chp_0011_reader_04471_12_seg_1_seg1(2),book_00255_chp_0011_reader_04471_12_seg_1_seg1(2).wav
globe,S_014076_000000,000000.flac
globe,S_004333_000003,000003.flac
vctk,s5_051_mic2,s5_051_mic2.flac
globe,S_010481_000001,000001.flac
ears,p107_rainbow_03_slow,01880.wav
ears,p106_rainbow_06_highpitch,01595.wav
dns5,book_00082_chp_0011_reader_01593_35_seg_1_seg1(2),book_00082_chp_0011_reader_01593_35_seg_1_seg1(2).wav
libritts,4970_29093_000028_000000,4970_29093_000028_000000.wav
libritts,4446_2273_000020_000002,4446_2273_000020_000002.wav
libritts,4970_29095_000032_000002,4970_29095_000032_000002.wav
dns5,book_01415_chp_0017_reader_06507_66_seg_1_seg1(2),book_01415_chp_0017_reader_06507_66_seg_1_seg1(2).wav
libritts,237_134500_000024_000002,237_134500_000024_000002.wav
libritts,6829_68771_000036_000000,6829_68771_000036_000000.wav
libritts,4446_2273_000035_000005,4446_2273_000035_000005.wav
dns5,book_00424_chp_0008_reader_04758_42_seg_2_seg1,book_00424_chp_0008_reader_04758_42_seg_2_seg1.wav
dns5,book_00166_chp_0026_reader_01339_18_seg_1_seg2(2),book_00166_chp_0026_reader_01339_18_seg_1_seg2(2).wav
globe,S_002847_000004,000004.flac
dns5,book_00082_chp_0011_reader_01593_34_seg_2_seg2,book_00082_chp_0011_reader_01593_34_seg_2_seg2.wav
ears,p107_sentences_16_regular,01996.wav
globe,S_016237_000002,000002.flac
globe,S_018485_000010,000010.flac
globe,S_006850_000006,000006.flac
dns5,book_00375_chp_0004_reader_01282_44_seg_2_seg1,book_00375_chp_0004_reader_01282_44_seg_2_seg1.wav
ears,p103_sentences_02_slow,00634.wav
ears,p106_rainbow_03_highpitch,01555.wav
ears,p104_emo_sadness_sentences,00727.wav
ears,p106_rainbow_02_whisper,01553.wav
ears,p103_sentences_01_fast,00607.wav
dns5,book_00166_chp_0025_reader_00732_11_seg_2_seg2,book_00166_chp_0025_reader_00732_11_seg_2_seg2.wav
globe,S_014867_000001,000001.flac
ears,p103_sentences_14_lowpitch,00662.wav
dns5,book_00162_chp_0035_reader_06647_13_seg_1_seg1,book_00162_chp_0035_reader_06647_13_seg_1_seg1.wav
dns5,book_00166_chp_0025_reader_00732_19_seg_1_seg1(2),book_00166_chp_0025_reader_00732_19_seg_1_seg1(2).wav
dns5,book_00171_chp_0010_reader_05715_30_seg_1_seg1(2),book_00171_chp_0010_reader_05715_30_seg_1_seg1(2).wav
vctk,p232_252_mic2,p232_252_mic2.flac
dns5,book_00028_chp_0038_reader_05919_28_seg_2_seg2,book_00028_chp_0038_reader_05919_28_seg_2_seg2.wav
globe,S_010558_000001,000001.flac
globe,S_002259_000001,000001.flac
globe,S_020434_000001,000001.flac
dns5,book_00166_chp_0025_reader_00732_1_seg_2_seg2(2),book_00166_chp_0025_reader_00732_1_seg_2_seg2(2).wav
globe,S_018485_000015,000015.flac
ears,p103_emo_realization_sentences,00351.wav
dns5,book_01415_chp_0017_reader_06507_9_seg_1_seg2(2),book_01415_chp_0017_reader_06507_9_seg_1_seg2(2).wav
dns5,book_01415_chp_0017_reader_06507_42_seg_0_seg2(2),book_01415_chp_0017_reader_06507_42_seg_0_seg2(2).wav
vctk,s5_187_mic2,s5_187_mic2.flac
ears,p103_sentences_03_whisper,00638.wav
ears,p102_sentences_22_regular,00285.wav
globe,S_000354_000003,000003.flac
dns5,book_00082_chp_0011_reader_01593_23_seg_0_seg2(2),book_00082_chp_0011_reader_01593_23_seg_0_seg2(2).wav
dns5,book_00082_chp_0011_reader_01593_13_seg_1_seg1,book_00082_chp_0011_reader_01593_13_seg_1_seg1.wav
ears,p103_rainbow_04_fast,00515.wav
vctk,s5_171_mic2,s5_171_mic2.flac
vctk,s5_208_mic2,s5_208_mic2.flac
dns5,book_01415_chp_0017_reader_06507_33_seg_0_seg1,book_01415_chp_0017_reader_06507_33_seg_0_seg1.wav
dns5,book_00082_chp_0011_reader_01593_44_seg_1_seg1(2),book_00082_chp_0011_reader_01593_44_seg_1_seg1(2).wav
globe,S_013576_000001,000001.flac
ears,p102_sentences_08_slow,00266.wav
ears,p104_rainbow_07_loud,00913.wav
libritts,4970_29093_000050_000004,4970_29093_000050_000004.wav
dns5,book_00028_chp_0038_reader_05919_16_seg_2_seg1,book_00028_chp_0038_reader_05919_16_seg_2_seg1.wav
globe,S_001469_000000,000000.flac
vctk,p257_389_mic2,p257_389_mic2.flac
dns5,book_00082_chp_0011_reader_01593_13_seg_1_seg1(2),book_00082_chp_0011_reader_01593_13_seg_1_seg1(2).wav
ears,p104_rainbow_03_lowpitch,00863.wav
dns5,book_00255_chp_0011_reader_04471_14_seg_1_seg1,book_00255_chp_0011_reader_04471_14_seg_1_seg1.wav
globe,S_013851_000000,000000.flac
dns5,book_00082_chp_0011_reader_01593_55_seg_1_seg1,book_00082_chp_0011_reader_01593_55_seg_1_seg1.wav
dns5,book_01415_chp_0017_reader_06507_77_seg_0_seg1,book_01415_chp_0017_reader_06507_77_seg_0_seg1.wav
globe,S_019700_000003,000003.flac
globe,S_001982_000001,000001.flac
globe,S_002623_000001,000001.flac
ears,p103_rainbow_02_fast,00481.wav
vctk,p257_430_mic2,p257_430_mic2.flac
globe,S_008121_000001,000001.flac
libritts,121_127105_000033_000000,121_127105_000033_000000.wav
dns5,book_00375_chp_0004_reader_01282_2_seg_0_seg1(2),book_00375_chp_0004_reader_01282_2_seg_0_seg1(2).wav
dns5,book_01415_chp_0017_reader_06507_69_seg_2_seg1(2),book_01415_chp_0017_reader_06507_69_seg_2_seg1(2).wav
ears,p102_sentences_01_highpitch,00236.wav
globe,S_016965_000006,000006.flac
vctk,p232_118_mic2,p232_118_mic2.flac
globe,S_010877_000000,000000.flac
vctk,p232_202_mic2,p232_202_mic2.flac
ears,p106_sentences_22_regular,01697.wav
globe,S_001498_000003,000003.flac
dns5,book_00082_chp_0011_reader_01593_20_seg_2_seg1,book_00082_chp_0011_reader_01593_20_seg_2_seg1.wav
globe,S_023155_000000,000000.flac
dns5,book_00375_chp_0004_reader_01282_65_seg_2_seg1,book_00375_chp_0004_reader_01282_65_seg_2_seg1.wav
vctk,p257_207_mic2,p257_207_mic2.flac
globe,S_011524_000001,000001.flac
vctk,p257_127_mic2,p257_127_mic2.flac
ears,p102_sentences_01_whisper,00242.wav
vctk,p232_398_mic1,p232_398_mic1.flac
ears,p102_rainbow_05_loud,00196.wav
ears,p104_rainbow_08_highpitch,00925.wav
dns5,book_00166_chp_0025_reader_00732_11_seg_1_seg1,book_00166_chp_0025_reader_00732_11_seg_1_seg1.wav
