name,partition,dataset,source_id,speaker_id
evaluation-rir,evaluation,motus,motus_0002_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0003_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0003_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0005_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0006_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0006_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0009_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0010_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0014_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0020_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0021_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0021_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0023_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0028_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0030_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0032_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0034_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0036_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0040_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0041_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0042_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0042_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0043_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0047_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0051_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0052_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0053_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0053_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0054_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0059_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0067_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0068_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0071_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0071_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0074_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0076_2_raw_rirs,
evaluation-rir,evaluation,motus,motus_0077_1_raw_rirs,
evaluation-rir,evaluation,motus,motus_0078_3_raw_rirs,
evaluation-rir,evaluation,motus,motus_0082_2_raw_rirs,
